geo,TIME_PERIOD,OBS_VALUE,pred_cost
IE,2012,2.0,0.7000000000000013
IE,2013,0.7,0.7000000000000013
IE,2013,0.7,0.6854066267066269
IE,2013,0.7,0.5990000000000009
IE,2014,0.6,0.6474101173250554
IE,2014,0.6,0.6474101173250554
IE,2014,0.7,0.9000000000000008
IE,2015,0.9,0.9000000000000008
IE,2015,0.9,0.8849566877566876
IE,2015,0.9,0.7999999999999985
IE,2016,0.8,0.9538838544582355
IE,2016,0.8,0.9538838544582355
IE,2016,1.1,2.5
IE,2017,2.5,2.471
IE,2017,2.5,2.2689999999999997
IE,2017,2.6,2.0329642857142853
IE,2018,2.9,3.82
IE,2018,2.9,3.5412500000000016
IE,2018,2.9,2.1392500000000005
IE,2019,1.8,1.8145218525755278
IE,2019,1.8,1.8145218525755278
IE,2019,2.0,1.6562999999999997
IE,2020,1.4,2.2688000000000006
IE,2020,1.4,2.2688000000000006
IE,2020,1.4,3.102163636363639
IE,2021,6.3,3.358000000000002
IE,2021,6.3,2.7710000000000026
IE,2021,6.5,2.8280000000000016
IE,2022,12.1,6.496000000000004
IE,2022,12.1,6.757000000000005
IE,2022,12.4,8.369000000000002
IE,2023,3.3,2.349999999999998
IE,2023,3.3,2.462999999999998
IT,1992,4.9,2.8650999999999995
IT,1993,2.9,3.427
IT,1994,3.5,2.6600000000000006
IT,1995,2.0,1.8165585914085893
IT,1996,1.7,2.6667280844155834
IT,1997,2.6,0.09939177489177484
IT,1998,-1.4,0.7140000000000002
IT,1999,1.6,2.5591153846153842
IT,2000,3.0,2.4270000000000023
IT,2001,2.3,3.183999999999998
IT,2002,3.9,3.225000000000001
IT,2003,3.0,3.7910000000000044
IT,2004,4.1,3.961
IT,2005,4.0,3.069000000000003
IT,2006,2.8,3.424235294117644
IT,2007,3.7,3.4776096153846203
IT,2008,3.8,2.0782389860139894
IT,2009,0.9,1.6110000000000009
IT,2010,1.5,2.866000000000001
IT,2011,3.0,2.3140000000000027
IT,2012,2.3,1.1650000000000014
IT,2013,0.7,0.9497619047619058
IT,2014,-0.1,0.23899999999999952
IT,2015,0.4,0.5839999999999993
IT,2016,0.3,0.4780000000000002
IT,2017,0.5,0.5060000000000006
IT,2018,1.4,2.7369999999999983
IT,2019,0.5,1.4814375000000017
IT,2020,0.5,1.4814375000000017
IT,2021,4.0,3.141000000000001
IT,2022,11.9,25.241999999999997
LT,2000,0.6,-0.3408403118123707
LT,2001,-1.0,0.7210000000000014
LT,2002,0.2,0.959000000000001
LT,2003,1.2,5.376000000000006
LT,2004,7.1,6.769999999999997
LT,2005,8.3,9.388000000000012
LT,2006,10.7,13.487999999999985
LT,2007,16.1,9.453000000000014
LT,2008,9.6,-7.31600000000001
LT,2009,-14.6,-3.742000000000002
LT,2010,-4.8,1.9890000000000017
LT,2011,3.9,2.0669999999999993
LT,2012,3.0,2.9159999999999986
LT,2013,4.6,3.0569999999999964
LT,2014,3.2,2.4049999999999967
LT,2015,2.2,2.395999999999998
LT,2016,2.1,3.6536428571428536
LT,2017,4.2,3.380000000000002
LT,2018,3.5,3.5129999999999963
LT,2019,4.9,3.0250000000000012
LT,2020,2.0,1.9728730158730172
LT,2021,6.6,3.9189999999999956
LT,2022,18.0,10.183000000000012
LT,2023,7.2,1.9550000000000003
LU,2001,1.6,2.0
LU,2001,2.0,1.9000000000000035
LU,2002,1.9,1.9110000000000034
LU,2002,1.9,1.9000000000000035
LU,2002,1.9,1.6999999999999986
LU,2003,1.7,1.8484271747859982
LU,2003,1.7,1.8484271747859982
LU,2003,2.0,3.0
LU,2004,3.0,3.0
LU,2004,3.0,3.1909999999999945
LU,2004,3.2,2.5
LU,2005,2.5,2.559498009416064
LU,2005,2.5,2.559498009416064
LU,2005,2.5,3.0
LU,2006,3.0,3.0
LU,2006,3.0,3.300000000000006
LU,2006,3.3,4.0
LU,2007,4.0,3.998
LU,2007,4.0,4.199999999999992
LU,2007,4.2,3.699999999999993
LU,2008,3.7,3.851758153729319
LU,2008,3.7,3.851758153729319
LU,2008,4.0,0.39999999999999925
LU,2009,0.4,0.39999999999999925
LU,2009,0.4,0.7882121089694621
LU,2009,0.4,1.9000000000000035
LU,2010,1.9,1.9000000000000035
LU,2010,1.9,1.8000000000000016
LU,2010,1.8,3.1000000000000005
LU,2011,3.1,3.101000000000001
LU,2011,3.1,3.3080000000000056
LU,2011,3.3,1.9000000000000035
LU,2012,1.9,1.9481116877403641
LU,2012,1.9,1.9481116877403641
LU,2012,2.0,0.7000000000000013
LU,2013,0.7,0.7000000000000013
LU,2013,0.7,0.6854066267066269
LU,2013,0.7,0.5990000000000009
LU,2014,0.6,0.6474101173250554
LU,2014,0.6,0.6474101173250554
LU,2014,0.7,0.9000000000000008
LU,2015,0.9,0.9000000000000008
LU,2015,0.9,0.8849566877566876
LU,2015,0.9,0.7999999999999985
LU,2016,0.8,0.9538838544582355
LU,2016,0.8,0.9538838544582355
LU,2016,1.1,2.5
LU,2017,2.5,2.471
LU,2017,2.5,2.2689999999999997
LU,2017,2.6,2.0329642857142853
LU,2018,2.9,3.82
LU,2018,2.9,3.5412500000000016
LU,2018,2.9,2.1392500000000005
LU,2019,1.8,1.8145218525755278
LU,2019,1.8,1.8145218525755278
LU,2019,2.0,1.6562999999999997
LU,2020,1.4,2.2688000000000006
LU,2020,1.4,2.2688000000000006
LU,2020,1.4,3.102163636363639
LU,2021,6.3,3.358000000000002
LU,2021,6.3,2.7710000000000026
LU,2021,6.5,2.8280000000000016
LU,2022,12.1,6.496000000000004
LU,2022,12.1,6.757000000000005
LU,2022,12.4,8.369000000000002
LU,2023,3.3,2.349999999999998
LU,2023,3.3,2.462999999999998
LV,2002,1.3,5.029000000000005
LV,2003,6.3,7.72299999999999
LV,2004,8.8,7.049999999999992
LV,2005,11.9,27.85099999999999
LV,2006,36.5,17.671999999999997
LV,2007,22.5,7.736000000000011
LV,2008,8.7,-4.028000000000005
LV,2009,-7.8,-4.263999999999997
LV,2010,-7.4,0.4789999999999999
LV,2011,2.5,2.8279999999999963
LV,2012,3.2,3.5340000000000016
LV,2013,4.0,1.8809999999999965
LV,2014,0.7,2.8760000000000012
LV,2015,3.4,4.728999999999996
LV,2016,5.7,2.8650000000000007
LV,2017,2.4,2.120999999999999
LV,2018,4.5,4.452999999999999
LV,2019,4.8,3.7880000000000003
LV,2020,7.3,4.567999999999999
LV,2021,6.8,2.4749999999999996
LV,2022,13.3,7.430000000000006
