DATAFLOW,LAST UPDATE,freq,indic_bt,cpa2_1,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2006,83.8,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2007,86.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2008,89.5,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2009,89.8,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2010,91.8,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2011,95.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2012,97.1,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2013,97.8,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2014,98.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2015,100.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2016,101.3,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2017,104.9,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2018,108.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2019,111.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2020,113.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2021,120.9,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2022,137.4,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,1995,60.1,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,1996,61.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,1997,63.3,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,1998,65.1,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,1999,67.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2000,68.9,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2001,71.1,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2002,72.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2003,74.3,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2004,75.8,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2005,77.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2006,81.3,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2007,86.4,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2008,88.9,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2009,88.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DK,2010,89.6,,
